RestaurantID,RestaurantName,PasswordHash,Description,LogoImage,BusinessStatus,DeliveryFee,MinimumOrderAmount,DeliveryArea,AverageRating
1,Conway Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Innovative empowering success,https://picsum.photos/363/876,Closed,3.45,41.03,South Matthew,3.4
2,Crawford-Price,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Persevering impactful support,https://placekitten.com/702/185,Resting,5.28,47.25,Stevenburgh,3.5
3,Vazquez Stone and Keller,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Re-contextualized heuristic data-warehouse,https://placekitten.com/841/704,Open,7.09,48.09,South Kaylaberg,3.7
4,Henderson-Henderson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Implemented grid-enabled interface,https://placekitten.com/66/810,Resting,7.82,58.35,Frazierhaven,3.6
5,Lopez-Solomon,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Assimilated value-added artificial intelligence,https://dummyimage.com/791x30,Resting,4.64,18.36,Hollystad,4.5
6,Roberts-Sweeney,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Organized grid-enabled extranet,https://dummyimage.com/384x811,Open,7.51,47.75,Woodside,4.8
7,Kelly PLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Digitized composite data-warehouse,https://picsum.photos/634/680,Resting,3.19,24.57,North William,3.8
8,Stone Ltd,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,De-engineered hybrid core,https://dummyimage.com/1x175,Open,8.17,43.29,Michaelview,3.9
9,Rivas-Price,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Exclusive executive framework,https://picsum.photos/277/501,Resting,7.95,49.33,Port Donna,3.8
10,Eaton-Buck,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Multi-lateral disintermediate standardization,https://dummyimage.com/947x196,Closed,8.35,29.65,North Elizabethside,3.8
11,Pacheco-Nelson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sharable directional analyzer,https://dummyimage.com/10x413,Resting,3.71,54.05,Carlyberg,3.5
12,Obrien-Walker,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,De-engineered hybrid capability,https://placekitten.com/935/238,Open,8.0,49.29,Youngfurt,4.9
13,Parker Rodriguez and Sanchez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Assimilated client-driven support,https://placekitten.com/589/950,Closed,8.75,29.37,Jermaineberg,4.9
14,Parker LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Advanced modular info-mediaries,https://placekitten.com/168/79,Resting,5.37,20.04,Patrickfurt,4.7
15,Mullins Burgess and Lopez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Realigned 6thgeneration Graphical User Interface,https://dummyimage.com/17x211,Resting,8.24,25.62,Oscarberg,3.9
16,Brooks Valdez and Duncan,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Expanded fresh-thinking workforce,https://dummyimage.com/321x674,Open,3.62,37.2,East Aaronbury,4.7
17,Zimmerman-Beasley,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Switchable regional standardization,https://dummyimage.com/307x496,Open,4.1,43.06,Jameston,3.7
18,Mcdowell LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-architected systematic conglomeration,https://picsum.photos/937/305,Resting,9.99,35.92,Garciaside,3.3
19,Robinson-Pope,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Triple-buffered radical middleware,https://placekitten.com/643/635,Resting,8.14,20.94,Alexaside,4.8
20,Moody Group,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Multi-channeled static access,https://picsum.photos/608/396,Resting,7.49,19.41,Lesliebury,4.7
21,Brown-Nelson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Open-architected discrete parallelism,https://placekitten.com/223/284,Open,9.2,34.72,Dawntown,3.5
22,Fox-Conner,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Secured value-added customer loyalty,https://picsum.photos/708/465,Open,2.65,51.14,Vasquezburgh,3.5
23,Baker LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Secured holistic customer loyalty,https://dummyimage.com/734x631,Closed,6.81,36.69,Emmafort,4.8
24,Delacruz Arnold and Weaver,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Cross-group mission-critical groupware,https://picsum.photos/832/235,Resting,9.78,24.04,West Mike,3.1
25,Keith LLC,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Up-sized actuating toolset,https://placekitten.com/70/750,Closed,4.23,40.4,Howardmouth,4.5
26,Johnson-Watts,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Triple-buffered multi-state pricing structure,https://picsum.photos/800/675,Resting,2.8,24.84,Novakland,3.4
