RiderID,Name,PasswordHash,PhoneNumber,IDNumber,AverageRating,LastKnownLocation,CurrentStatus
1,Dustin Singleton,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,+1-520-721-7780,376-96-0827,3.9,"1602 Daniels Run Apt. 900 Peterberg, WV 59535",Resting
2,Jessica Peterson,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,+1-602-375-7238x31586,385-81-6701,4.4,"06934 Macias Place Apt. 436 West Karenburgh, MT 49564",Available
3,Amanda Diaz,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,001-260-714-2116x2950,290-65-7382,4.8,"1675 Jeffrey Springs Apt. 574 Lake Julianfort, VA 71603",Available
4,Daniel Stone,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,891-822-1067x09718,530-43-4036,4.1,Unit 1486 Box 5958 DPO AA 50594,Delivering
5,Renee Brown,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,(854)205-0446x34364,226-75-4739,3.7,"582 Yvette Wells Suite 868 East Jacob, MN 11164",Delivering
6,Amanda Evans,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,001-942-773-7659x197,587-56-5453,4.6,"4737 Powers Lodge Suite 203 Craigside, GU 14264",Available
7,Glenn Jacobs,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,700.946.6041x3806,779-37-6520,4.4,"80722 Lisa Valleys Suite 262 Hopkinsmouth, SD 24954",Delivering
8,Calvin Perry,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,(301)869-4462x736,899-61-2697,4.2,"1316 Odom Coves Lake Teresa, TX 48823",Delivering
9,Jeffery Fox,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,586.377.1728x39072,343-54-1728,4.0,"69033 Sarah Knoll Apt. 902 Fosterfort, VI 22832",Delivering
10,Tiffany Horton,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,531.540.7226x7208,557-51-6617,5.0,"2011 Baird Courts Port Stevenport, LA 83235",Delivering
11,Angela Gomez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,001-610-218-6993x0793,682-31-1064,3.9,Unit 6718 Box 5466 DPO AE 05858,Available
12,Joseph Lawrence,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,603-412-3676,168-13-1167,4.9,"68866 Brittany Square Apt. 745 Jordanton, PR 65267",Available
13,Matthew Sanchez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,+1-919-603-4378x566,218-02-4040,4.4,"619 Fowler Ferry Apt. 603 West Connie, MS 55726",Delivering
14,Arthur Hernandez,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,7902214981,275-90-2902,3.6,"7228 Carla Inlet Johnsonshire, HI 58519",Delivering
